create,week,delete
Jaguars-vs-Saints,1,Jaguars-vs-Saints
Lions-vs-Browns,1,Lions-vs-Browns
Eagles-vs-Rams,1,Eagles-vs-Rams
Packers-vs-Panthers,1,Packers-vs-Panthers
Chiefs-vs-Bills,1,Chiefs-vs-Bills
Dolphins-vs-Raiders,1,Dolphins-vs-Raiders
Buccaneers-vs-Jets,1,Buccaneers-vs-Jets
Falcons-vs-Texans,1,Falcons-vs-Texans
Seahawks-vs-49ers,1,Seahawks-vs-49ers
Broncos-vs-Steelers,1,Broncos-vs-Steelers
Giants-vs-Chargers,1,Giants-vs-Chargers
Cowboys-vs-Patriots,1,Cowboys-vs-Patriots
Ravens-vs-Bengals,1,Ravens-vs-Bengals
Bears-vs-Vikings,1,Bears-vs-Vikings
Cardinals-vs-Football Team,1,Cardinals-vs-Football Team
Titans-vs-Colts,1,Titans-vs-Colts
Ravens-vs-Steelers,2,Ravens-vs-Steelers
Saints-vs-Panthers,2,Saints-vs-Panthers
Patriots-vs-Raiders,2,Patriots-vs-Raiders
Buccaneers-vs-Jaguars,2,Buccaneers-vs-Jaguars
Falcons-vs-Titans,2,Falcons-vs-Titans
Football Team-vs-Bills,2,Football Team-vs-Bills
Bengals-vs-Browns,2,Bengals-vs-Browns
Lions-vs-Packers,2,Lions-vs-Packers
Cardinals-vs-Bears,2,Cardinals-vs-Bears
Broncos-vs-Dolphins,2,Broncos-vs-Dolphins
Seahawks-vs-Eagles,2,Seahawks-vs-Eagles
Chiefs-vs-Vikings,2,Chiefs-vs-Vikings
Rams-vs-Giants,2,Rams-vs-Giants
Jets-vs-Chargers,2,Jets-vs-Chargers
49ers-vs-Cowboys,2,49ers-vs-Cowboys
Texans-vs-Colts,2,Texans-vs-Colts
Lions-vs-Saints,3,Lions-vs-Saints
Colts-vs-Falcons,3,Colts-vs-Falcons
Patriots-vs-Bills,3,Patriots-vs-Bills
Vikings-vs-Panthers,3,Vikings-vs-Panthers
Texans-vs-Titans,3,Texans-vs-Titans
Giants-vs-Eagles,3,Giants-vs-Eagles
Steelers-vs-Jaguars,3,Steelers-vs-Jaguars
Football Team-vs-Buccaneers,3,Football Team-vs-Buccaneers
Rams-vs-Cowboys,3,Rams-vs-Cowboys
Raiders-vs-Broncos,3,Raiders-vs-Broncos
Cardinals-vs-Browns,3,Cardinals-vs-Browns
49ers-vs-Seahawks,3,49ers-vs-Seahawks
Dolphins-vs-Chiefs,3,Dolphins-vs-Chiefs
Ravens-vs-Jets,3,Ravens-vs-Jets
Chargers-vs-Bengals,3,Chargers-vs-Bengals
Packers-vs-Bears,3,Packers-vs-Bears
Bills-vs-Jets,4,Bills-vs-Jets
Titans-vs-Chargers,4,Titans-vs-Chargers
Giants-vs-Dolphins,4,Giants-vs-Dolphins
Chiefs-vs-Ravens,4,Chiefs-vs-Ravens
Browns-vs-Bengals,4,Browns-vs-Bengals
Patriots-vs-Texans,4,Patriots-vs-Texans
Panthers-vs-Bears,4,Panthers-vs-Bears
Jaguars-vs-Colts,4,Jaguars-vs-Colts
Cowboys-vs-Football Team,4,Cowboys-vs-Football Team
Seahawks-vs-Lions,4,Seahawks-vs-Lions
Eagles-vs-Raiders,4,Eagles-vs-Raiders
Vikings-vs-Broncos,4,Vikings-vs-Broncos
Rams-vs-Cardinals,4,Rams-vs-Cardinals
Falcons-vs-49ers,4,Falcons-vs-49ers
Saints-vs-Buccaneers,4,Saints-vs-Buccaneers
Packers-vs-Steelers,4,Packers-vs-Steelers
Packers-vs-Cowboys,5,Packers-vs-Cowboys
Bears-vs-Football Team,5,Bears-vs-Football Team
Texans-vs-Bengals,5,Texans-vs-Bengals
Ravens-vs-Rams,5,Ravens-vs-Rams
Panthers-vs-Falcons,5,Panthers-vs-Falcons
Buccaneers-vs-Lions,5,Buccaneers-vs-Lions
Colts-vs-Browns,5,Colts-vs-Browns
Jets-vs-Giants,5,Jets-vs-Giants
Steelers-vs-Seahawks,5,Steelers-vs-Seahawks
Chargers-vs-Dolphins,5,Chargers-vs-Dolphins
Cardinals-vs-Eagles,5,Cardinals-vs-Eagles
Broncos-vs-Raiders,5,Broncos-vs-Raiders
Saints-vs-Vikings,5,Saints-vs-Vikings
49ers-vs-Titans,5,49ers-vs-Titans
Jaguars-vs-Chiefs,5,Jaguars-vs-Chiefs
Bills-vs-Patriots,5,Bills-vs-Patriots
Cowboys-vs-Saints,6,Cowboys-vs-Saints
Panthers-vs-Seahawks,6,Panthers-vs-Seahawks
Texans-vs-Buccaneers,6,Texans-vs-Buccaneers
Colts-vs-Titans,6,Colts-vs-Titans
Football Team-vs-Eagles,6,Football Team-vs-Eagles
Steelers-vs-Ravens,6,Steelers-vs-Ravens
Falcons-vs-Packers,6,Falcons-vs-Packers
Raiders-vs-Chargers,6,Raiders-vs-Chargers
Rams-vs-Bengals,6,Rams-vs-Bengals
Jets-vs-Jaguars,6,Jets-vs-Jaguars
Broncos-vs-Patriots,6,Broncos-vs-Patriots
Bears-vs-Chiefs,6,Bears-vs-Chiefs
49ers-vs-Cardinals,6,49ers-vs-Cardinals
Vikings-vs-Lions,6,Vikings-vs-Lions
Vikings-vs-Chargers,7,Vikings-vs-Chargers
Bills-vs-Dolphins,7,Bills-vs-Dolphins
Eagles-vs-Jets,7,Eagles-vs-Jets
Buccaneers-vs-Bears,7,Buccaneers-vs-Bears
Packers-vs-Broncos,7,Packers-vs-Broncos
Football Team-vs-Cowboys,7,Football Team-vs-Cowboys
Bengals-vs-Jaguars,7,Bengals-vs-Jaguars
Cardinals-vs-Ravens,7,Cardinals-vs-Ravens
Colts-vs-Saints,7,Colts-vs-Saints
Raiders-vs-Chiefs,7,Raiders-vs-Chiefs
49ers-vs-Giants,7,49ers-vs-Giants
Titans-vs-Panthers,7,Titans-vs-Panthers
Steelers-vs-Browns,7,Steelers-vs-Browns
Cowboys-vs-Giants,8,Cowboys-vs-Giants
Patriots-vs-Football Team,8,Patriots-vs-Football Team
Saints-vs-Packers,8,Saints-vs-Packers
Steelers-vs-Cardinals,8,Steelers-vs-Cardinals
Ravens-vs-49ers,8,Ravens-vs-49ers
Jaguars-vs-Falcons,8,Jaguars-vs-Falcons
Buccaneers-vs-Panthers,8,Buccaneers-vs-Panthers
Bengals-vs-Colts,8,Bengals-vs-Colts
Broncos-vs-Chargers,8,Broncos-vs-Chargers
Seahawks-vs-Rams,8,Seahawks-vs-Rams
Titans-vs-Texans,8,Titans-vs-Texans
Lions-vs-Raiders,8,Lions-vs-Raiders
Jets-vs-Dolphins,8,Jets-vs-Dolphins
Vikings-vs-Bears,8,Vikings-vs-Bears
Browns-vs-Bills,8,Browns-vs-Bills
Jaguars-vs-Texans,9,Jaguars-vs-Texans
Dolphins-vs-Bills,9,Dolphins-vs-Bills
Packers-vs-Buccaneers,9,Packers-vs-Buccaneers
Giants-vs-Falcons,9,Giants-vs-Falcons
Football Team-vs-Rams,9,Football Team-vs-Rams
Panthers-vs-Colts,9,Panthers-vs-Colts
Ravens-vs-Browns,9,Ravens-vs-Browns
Cardinals-vs-Seahawks,9,Cardinals-vs-Seahawks
Raiders-vs-Vikings,9,Raiders-vs-Vikings
Lions-vs-Eagles,9,Lions-vs-Eagles
Broncos-vs-Bears,9,Broncos-vs-Bears
Chargers-vs-Chiefs,9,Chargers-vs-Chiefs
Patriots-vs-Jets,9,Patriots-vs-Jets
Bengals-vs-Steelers,9,Bengals-vs-Steelers
Saints-vs-Titans,10,Saints-vs-Titans
Bears-vs-Packers,10,Bears-vs-Packers
Panthers-vs-Bills,10,Panthers-vs-Bills
Texans-vs-Broncos,10,Texans-vs-Broncos
Eagles-vs-Cowboys,10,Eagles-vs-Cowboys
Dolphins-vs-Football Team,10,Dolphins-vs-Football Team
Lions-vs-Chiefs,10,Lions-vs-Chiefs
Seahawks-vs-Ravens,10,Seahawks-vs-Ravens
Buccaneers-vs-Falcons,10,Buccaneers-vs-Falcons
Giants-vs-Patriots,10,Giants-vs-Patriots
Steelers-vs-Colts,10,Steelers-vs-Colts
Vikings-vs-Bengals,10,Vikings-vs-Bengals
Cardinals-vs-49ers,10,Cardinals-vs-49ers
Browns-vs-Rams,10,Browns-vs-Rams
Saints-vs-Rams,11,Saints-vs-Rams
Bengals-vs-Seahawks,11,Bengals-vs-Seahawks
Browns-vs-49ers,11,Browns-vs-49ers
Colts-vs-Jaguars,11,Colts-vs-Jaguars
Bears-vs-Falcons,11,Bears-vs-Falcons
Chiefs-vs-Raiders,11,Chiefs-vs-Raiders
Panthers-vs-Lions,11,Panthers-vs-Lions
Football Team-vs-Jets,11,Football Team-vs-Jets
Cowboys-vs-Broncos,11,Cowboys-vs-Broncos
